Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A502079,OWNER SUR,10/11/2024,DA VINCI,DOG,3 YEARS,SMALL,BLACK / BROWN,PUG / BEAGLE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502079&location=MONT,
A524562,OWNER SUR,10/13/2024,PIGGY,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524562&location=MONT,
A525733,OWNER SUR,11/16/2024,GHOST,DOG,2 YEARS,LARGE,BRINDLE / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525733&location=MONT,
A526030,OWNER SUR,11/25/2024,BELLA ROSE,DOG,2 YEARS,MED,TAN / WHITE,CAIRN TERRIER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526030&location=MONT,
A495630,OWNER SUR,11/27/2024,ZAZAKI,DOG,2 YEARS,MED,BLACK / BRINDLE,AMERICAN STAFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A495630&location=MONT,
A523471,OWNER SUR,09/15/2024,SUMMER,OTHER,1 YEAR 3 MONTHS,MED,BROWN,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523471&location=MONT,
A523317,OWNER SUR,09/11/2024,DRAMATICZ,DOG,1 YEAR 8 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523317&location=MONT,
A523915,RETURN,11/17/2024,*JOE,DOG,1 YEAR 3 MONTHS,MED,BRINDLE / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523915&location=MONT,
A520093,RETURN,11/24/2024,*IGGY,DOG,1 YEAR 4 MONTHS,MED,CHOCOLATE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520093&location=MONT,
A522782,OWNER SUR,08/28/2024,*JACOB,CAT,6 MONTHS,KITTE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522782&location=MONT,
A525010,OWNER SUR,10/25/2024,*SPRITE,CAT,8 MONTHS,MED,WHITE / GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525010&location=MONT,
A524526,RETURN,11/14/2024,*FERN,OTHER,1 YEAR 2 MONTHS,SMALL,BLACK / TAN,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524526&location=MONT,
A425626,OWNER SUR,09/17/2024,TOBY,DOG,9 YEARS,LARGE,TAN / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A425626&location=MONT,
A525576,OWNER SUR,11/10/2024,RICKY,OTHER,1 YEAR 7 MONTHS,MED,BROWN,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525576&location=MONT,
A523316,OWNER SUR,09/11/2024,SASSY,DOG,1 YEAR 8 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523316&location=MONT,
A523342,FOSTER,09/28/2024,*PEBBLES,DOG,1 YEAR 3 MONTHS,LARGE,TAN / WHITE,SIBERIAN HUSKY / LABRADOR RETR,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523342&location=MONT,
A525314,OWNER SUR,11/02/2024,LOKI,CAT,1 YEAR 1 MONTH,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525314&location=MONT,
A525577,OWNER SUR,11/10/2024,NICKY,OTHER,1 YEAR 7 MONTHS,MED,BLACK / WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525577&location=MONT,
A525496,RETURN,11/29/2024,*BISCUIT,CAT,1 YEAR 1 MONTH,SMALL,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525496&location=MONT,
A515982,OWNER SUR,11/05/2024,*MUTTILDA,DOG,1 YEAR 8 MONTHS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515982&location=MONT,
A525485,FOSTER,11/21/2024,*CLEOPAWTRA,CAT,11 MONTHS,MED,GRAY TAB / BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525485&location=MONT,
A484419,OWNER SUR,10/06/2024,MONROE,DOG,3 YEARS,MED,BLACK / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A484419&location=MONT,
A525361,OWNER SUR,11/04/2024,PEPITA,CAT,6 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525361&location=MONT,
A524626,OWNER SUR,10/15/2024,*TEMPORA,CAT,3 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524626&location=MONT,
A525573,OWNER SUR,11/10/2024,NEVEEN,CAT,2 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525573&location=MONT,
A488833,FOSTER,11/24/2024,KANE,DOG,3 YEARS,LARGE,BRINDLE / WHITE,BOXER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A488833&location=MONT,
A525360,OWNER SUR,11/04/2024,CHARLES,CAT,6 YEARS,MED,CRM TABBY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525360&location=MONT,
A507175,RETURN,11/24/2024,*TALKY,DOG,1 YEAR 9 MONTHS,MED,BLACK,GERM SHEPHERD / LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507175&location=MONT,
A468333,EUTH REQ,11/22/2024,VIRGO,CAT,4 YEARS,KITTE,TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468333&location=MONT,
A523228,CONFISCATE,09/09/2024,*ROMAN 1,BIRD,NO AGE,MED,BLACK / WHITE,TURKEY,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523228&location=MONT,
A433059,OWNER SUR,09/12/2024,MR. PICKLES,DOG,7 YEARS,MED,BROWN / WHITE,SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433059&location=MONT,
A524543,OWNER SUR,10/12/2024,SKYE,DOG,4 YEARS,MED,BRINDLE / WHITE,ALASKAN HUSKY / AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524543&location=MONT,
A524293,OWNER SUR,10/05/2024,*CAREN,OTHER,6 YEARS,SMALL,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524293&location=MONT,
A524170,OWNER SUR,10/01/2024,CUPCAKE,OTHER,5 YEARS,LARGE,BLACK,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524170&location=MONT,
A519764,OWNER SUR,10/25/2024,*TRIPP,DOG,4 YEARS,MED,BRINDLE / WHITE,BEAGLE / LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519764&location=MONT,
A524427,BOARDING,10/08/2024,ANGELO,DOG,2 YEARS,MED,BRINDLE / WHITE,STAFFORDSHIRE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524427&location=MONT,
A522352,FOSTER,11/06/2024,*HIPPITY HOPPER,OTHER,2 YEARS,MED,BLACK,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522352&location=MONT,
A525120,OWNER SUR,10/28/2024,KIRY,OTHER,2 YEARS,MED,WHITE,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525120&location=MONT,
A517695,OWNER SUR,10/26/2024,SPOTS,DOG,4 YEARS,LARGE,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517695&location=MONT,
A478355,FOSTER,11/09/2024,T-REX,DOG,8 YEARS,LARGE,BROWN / WHITE,AM PIT BULL TER / LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A478355&location=MONT,
A525264,OWNER SUR,11/01/2024,HARLEY,DOG,2 YEARS,MED,CHOCOLATE / WHITE,NS DUCK TOLLING / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525264&location=MONT,
A450512,OWNER SUR,10/20/2024,FIERRO,DOG,10 YEARS,LARGE,BLACK,LABRADOR RETR / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A450512&location=MONT,
A525803,OWNER SUR,11/18/2024,*BEAN,CAT,6 YEARS,LARGE,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525803&location=MONT,
A525802,OWNER SUR,11/18/2024,PEPPER,CAT,6 YEARS,LARGE,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525802&location=MONT,
A523322,BOARDING,09/11/2024,ZAILAH,DOG,3 YEARS,MED,BLACK / WHITE,STAFFORDSHIRE / LABRADOR RETR,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523322&location=MONT,
A522396,RETURN,10/25/2024,*CASHMERE,DOG,3 YEARS,MED,TAN / WHITE,FEIST / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522396&location=MONT,
A506612,CONFISCATE,09/16/2024,CHI CHI,DOG,4 YEARS,LARGE,TAN,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A506612&location=MONT,
